25\02\1999,1.6033,1.597,1.6075,1.5969,0.38
26\02\1999,1.603,1.6012,1.6064,1.5968,-0.02
01\03\1999,1.6073,1.5977,1.612,1.5949,0.27
02\03\1999,1.6159,1.6081,1.6173,1.6042,0.54
03\03\1999,1.6147,1.616,1.6227,1.6112,-0.07
04\03\1999,1.6105,1.613,1.6138,1.6049,-0.26
05\03\1999,1.6067,1.6093,1.6111,1.6045,-0.24
08\03\1999,1.6087,1.6014,1.6119,1.6005,0.12
09\03\1999,1.6187,1.6095,1.6197,1.606,0.62
10\03\1999,1.6265,1.6176,1.6292,1.6146,0.48
11\03\1999,1.6366,1.626,1.6414,1.6209,0.62
12\03\1999,1.6315,1.6364,1.6385,1.628,-0.31
15\03\1999,1.6228,1.63,1.6311,1.6184,-0.53
16\03\1999,1.6285,1.6209,1.6302,1.6172,0.35
17\03\1999,1.63,1.6285,1.6327,1.6237,0.09
18\03\1999,1.6293,1.63,1.6359,1.6257,-0.04
19\03\1999,1.6283,1.6285,1.631,1.6255,-0.06
22\03\1999,1.6284,1.628,1.6294,1.6244,0.01
23\03\1999,1.6383,1.6278,1.6389,1.6213,0.61
24\03\1999,1.6343,1.638,1.6479,1.633,-0.24
25\03\1999,1.6235,1.6342,1.6391,1.6215,-0.66
26\03\1999,1.6237,1.6233,1.627,1.617,0.01
29\03\1999,1.6155,1.622,1.6242,1.6124,-0.51
30\03\1999,1.6122,1.615,1.6187,1.6108,-0.2
31\03\1999,1.6107,1.6114,1.6162,1.6068,-0.09
01\04\1999,1.6023,1.6112,1.614,1.6008,-0.52
02\04\1999,1.6035,1.602,1.6055,1.6018,0.07
05\04\1999,1.6001,1.6035,1.6074,1.598,-0.21
06\04\1999,1.5913,1.6003,1.6037,1.5838,-0.55
07\04\1999,1.5967,1.59,1.5992,1.587,0.34
08\04\1999,1.6062,1.5954,1.612,1.595,0.59
09\04\1999,1.6075,1.6053,1.61,1.6004,0.08
12\04\1999,1.612,1.608,1.619,1.608,0.28
13\04\1999,1.6165,1.612,1.6173,1.6115,0.28
14\04\1999,1.6118,1.6161,1.621,1.6108,-0.29
15\04\1999,1.6092,1.611,1.6162,1.6075,-0.16
16\04\1999,1.6132,1.6088,1.616,1.6029,0.25
19\04\1999,1.6115,1.6115,1.6239,1.6053,-0.11
20\04\1999,1.6093,1.6115,1.62,1.6085,-0.14
21\04\1999,1.6056,1.6093,1.6137,1.6038,-0.23
22\04\1999,1.6168,1.6056,1.6168,1.604,0.7
23\04\1999,1.6155,1.6155,1.6205,1.6122,-0.08
26\04\1999,1.612,1.6135,1.6214,1.6103,-0.22
27\04\1999,1.6172,1.6115,1.6195,1.6085,0.32
28\04\1999,1.6133,1.6166,1.6227,1.6127,-0.24
29\04\1999,1.6092,1.6135,1.6176,1.6068,-0.25
30\04\1999,1.6095,1.609,1.614,1.6055,0.02
03\05\1999,1.6094,1.6088,1.6126,1.6065,-0.01
04\05\1999,1.6287,1.6083,1.6294,1.6079,1.2
05\05\1999,1.6364,1.6274,1.6393,1.6255,0.47
06\05\1999,1.6397,1.636,1.6437,1.632,0.2
07\05\1999,1.6295,1.6387,1.6397,1.629,-0.62
10\05\1999,1.6254,1.629,1.6345,1.623,-0.25
11\05\1999,1.6231,1.6255,1.6284,1.619,-0.14
12\05\1999,1.6173,1.6226,1.6233,1.6153,-0.36
13\05\1999,1.6204,1.6175,1.6221,1.6169,0.19
14\05\1999,1.619,1.6215,1.6247,1.6132,-0.09
17\05\1999,1.6175,1.6215,1.622,1.6143,-0.09
18\05\1999,1.6206,1.6172,1.6258,1.6165,0.19
19\05\1999,1.6168,1.6203,1.6227,1.6154,-0.23
20\05\1999,1.6065,1.6175,1.6226,1.606,-0.64
21\05\1999,1.6006,1.6065,1.6092,1.5998,-0.37
24\05\1999,1.599,1.6,1.604,1.5926,-0.1
25\05\1999,1.6048,1.5975,1.606,1.5955,0.36
26\05\1999,1.5938,1.6045,1.6053,1.5936,-0.69
27\05\1999,1.598,1.5935,1.6023,1.5875,0.26
28\05\1999,1.6014,1.5968,1.6044,1.5952,0.21
31\05\1999,1.603,1.6023,1.6057,1.6002,0.1
01\06\1999,1.6122,1.6015,1.6131,1.5985,0.57
02\06\1999,1.6047,1.6105,1.6142,1.6025,-0.47
03\06\1999,1.6053,1.6033,1.6095,1.6022,0.04
04\06\1999,1.6103,1.6038,1.612,1.6017,0.31
07\06\1999,1.5995,1.6098,1.6115,1.5977,-0.67
08\06\1999,1.6063,1.5995,1.6073,1.5983,0.43
09\06\1999,1.6021,1.6058,1.6071,1.5979,-0.26
10\06\1999,1.6052,1.602,1.6056,1.5968,0.19
11\06\1999,1.617,1.6037,1.6178,1.603,0.74
14\06\1999,1.6063,1.6149,1.6164,1.605,-0.66
15\06\1999,1.5943,1.6058,1.6092,1.59,-0.75
16\06\1999,1.5883,1.5934,1.5955,1.5854,-0.38
